City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
560,Sumbe,AO,25.94,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
570,Gamba,GA,25.09,light rain,-2.65,10.0,
573,San Angelo,US,27.28,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
576,Oriximina,BR,27.26,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
579,Semporna,MY,25.88,scattered clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
587,Desert Hot Springs,US,28.69,clear sky,33.9611,-116.5017,Sea Mountain Luxury Nude Resort and Spa Hotel
590,Meulaboh,ID,26.24,light rain,4.1363,96.1285,Kost Pria
594,Lufilufi,WS,25.88,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
603,Cozumel,MX,30.53,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
604,Nalus,PH,25.26,scattered clouds,6.0122,124.5853,Johann’s (Yohans) Tambayan
606,Douentza,ML,33.46,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
607,Manokwari,ID,25.89,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
613,Matara,LK,25.38,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
614,Vung Tau,VN,27.18,overcast clouds,10.346,107.0843,Seaside Resort
618,Aguada De Pasajeros,CU,32.68,moderate rain,22.385,-80.8508,El Bosque
620,Jesus Del Monte,MX,25.1,broken clouds,19.1081,-99.9944,Jesus del Monte
622,Bilma,NE,28.63,clear sky,18.6853,12.9164,Expeditions Ténére voyages
631,Deer Park,US,27.07,clear sky,29.7052,-95.1238,Hampton Inn Houston Deer Park Ship Area
632,Ugoofaaru,MV,28.38,clear sky,5.6667,73.0,Ungoofaaru Inn
637,Umm Lajj,SA,28.03,clear sky,25.0213,37.2685,Moon light Furnished Units
640,Alibag,IN,27.04,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
641,Sokolo,ML,35.29,overcast clouds,14.7328,-6.1219,
643,Gandorhun,SL,26.84,overcast clouds,7.5,-11.8333,
649,Cayenne,GF,25.61,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
653,Oum Hadjer,TD,32.16,clear sky,13.2954,19.6966,
655,Manadhoo,MV,28.49,clear sky,5.7667,73.3833,Bon Abri maldives
661,Calamba,PH,27.25,scattered clouds,14.2117,121.1653,Riverview Resort
666,Rahuri,IN,27.03,clear sky,19.3833,74.65,P.W.D RESTHOUSE
670,Zephyrhills,US,28.86,scattered clouds,28.2336,-82.1812,Microtel Inn & Suites by Wyndham Zephyrhills
673,Kailua,US,26.99,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
676,Porto Novo,BJ,28.9,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
679,Santa Marta,CO,33.03,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
682,Kita,ML,36.19,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
688,Lakki Marwat,PK,25.51,clear sky,32.6079,70.9114,Noor Hotel
689,Sao Paulo De Olivenca,BR,30.16,overcast clouds,-3.3783,-68.8725,
690,Labuhan,ID,25.22,overcast clouds,-6.8844,112.2051,DoubleFAG
694,Arlit,NE,31.48,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
698,Rawson,AR,26.37,few clouds,-43.3002,-65.1023,Hosteria Sampedro
