City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Belaya Gora,RU,68.5333,146.4167,-31.64,100,99,0.7,overcast clouds
145,Havelock,US,34.8791,-76.9013,23.99,43,0,6.17,clear sky
146,Mareeba,AU,-17.0,145.4333,21.36,93,83,0.9,broken clouds
147,Spornoye,RU,50.8448,37.2913,10.99,66,100,5.25,overcast clouds
148,Roebourne,AU,-20.7833,117.1333,28.06,76,1,3.22,clear sky
149,San Patricio,US,28.017,-97.5169,29.05,43,100,7.59,overcast clouds
150,Nieves,PH,15.3274,120.9485,23.21,86,13,1.54,few clouds
151,Puerto Del Rosario,ES,28.5004,-13.8627,18.86,68,20,7.72,few clouds
152,Ishigaki,JP,24.3448,124.1572,18.07,100,75,5.66,mist
153,Micheweni,TZ,-4.9667,39.8333,27.39,77,98,3.01,overcast clouds
154,Kozulka,UA,50.0351,23.797,2.81,98,100,3.61,overcast clouds
155,East London,ZA,-33.0153,27.9116,18.5,90,100,3.04,light rain
156,Dongying,CN,37.4564,118.4856,7.61,33,87,3.17,overcast clouds
157,Severo-Kurilsk,RU,50.6789,156.125,-2.92,66,98,11.46,overcast clouds
158,Langsa,ID,4.4683,97.9683,23.95,96,100,1.38,overcast clouds
159,Roald,NO,62.5833,6.1333,3.2,86,29,0.0,scattered clouds
160,Nemuro,JP,43.3236,145.575,-2.41,83,83,4.45,broken clouds
161,Wattegama,LK,6.7989,81.4808,23.07,95,97,1.22,overcast clouds
162,Tasiilaq,GL,65.6145,-37.6368,2.09,91,100,1.36,overcast clouds
163,Tromso,NO,69.6496,18.957,-0.99,80,75,8.23,broken clouds
164,Rock Sound,BS,24.9,-76.2,25.2,83,1,5.45,clear sky
165,Gravdal,NO,68.1214,13.5031,-1.06,100,100,3.6,shower snow
166,Guiong,PH,6.4186,122.0258,26.0,84,80,0.78,broken clouds
167,Charagua,BO,-19.8,-63.2167,23.76,32,4,3.53,clear sky
168,Las Palmas,ES,28.4204,-14.0131,16.44,72,20,8.23,few clouds
169,Sinnamary,GF,5.3833,-52.95,25.49,89,100,4.59,overcast clouds
170,Bethel,US,41.3712,-73.414,11.97,80,100,5.66,overcast clouds
171,Shenkursk,RU,62.1091,42.896,-13.57,97,68,1.17,broken clouds
172,Henties Bay,NA,-22.116,14.2845,16.76,83,0,4.3,clear sky
173,Bengkulu,ID,-3.8004,102.2655,24.46,85,12,2.06,few clouds
174,Havoysund,NO,70.9963,24.6622,-0.87,91,100,7.85,light snow
175,Kemijarvi,FI,66.7131,27.4306,-6.73,91,100,3.22,overcast clouds
176,Marienburg,PL,54.0359,19.0266,2.84,48,100,6.76,overcast clouds
177,Dikson,RU,73.5069,80.5464,-20.32,96,73,3.54,broken clouds
178,Veraval,IN,20.9,70.3667,25.2,79,6,3.53,clear sky
179,Tuktoyaktuk,CA,69.4541,-133.0374,-29.0,69,0,3.09,clear sky
180,Caravelas,BR,-17.7125,-39.2481,27.05,71,0,3.19,clear sky
181,Naryan-Mar,RU,67.6713,53.087,-13.51,90,90,4.14,overcast clouds
182,Mpanda,TZ,-6.3655,31.0409,18.26,93,59,0.97,broken clouds
183,Gbarnga,LR,6.9956,-9.4722,25.5,82,100,2.33,light rain
184,Raudeberg,NO,61.9875,5.1352,2.37,78,23,2.99,few clouds
185,Sao Mateus Do Maranhao,BR,-4.0417,-44.475,26.01,92,63,1.15,broken clouds
186,Bafilo,TG,9.35,1.2667,28.19,45,99,2.64,overcast clouds
187,Mormugao,IN,15.4,73.8,27.59,74,40,2.57,scattered clouds
188,Nelson Bay,AU,-32.7167,152.15,16.72,74,100,9.77,overcast clouds
189,Kavaratti,IN,10.5669,72.642,28.11,75,6,3.22,clear sky
190,Broome,US,42.2506,-75.833,6.37,68,100,4.92,overcast clouds
191,Butaritari,KI,3.0707,172.7902,27.93,76,100,9.29,overcast clouds
192,Mpraeso,GH,6.5932,-0.7346,20.5,92,100,1.24,light rain
193,Troy,US,42.6056,-83.1499,3.8,62,100,6.69,overcast clouds
194,Muros,ES,42.7762,-9.0603,10.05,58,1,6.55,clear sky
195,Rengasdengklok,ID,-6.1592,107.2981,25.45,86,96,1.13,moderate rain
196,Isangel,VU,-19.55,169.2667,27.54,86,100,3.95,overcast clouds
197,Krasnoborsk,RU,61.5598,45.934,-14.46,97,13,1.34,few clouds
198,Coahuayana,MX,18.7333,-103.6833,29.4,44,100,3.5,overcast clouds
199,Makakilo City,US,21.3469,-158.0858,26.18,61,20,5.66,few clouds
200,Yerbogachen,RU,61.2767,108.0108,-8.34,92,86,4.98,overcast clouds
201,Ilulissat,GL,69.2167,-51.1,-1.99,74,20,3.6,few clouds
202,Grande Prairie,CA,55.1667,-118.8027,6.1,42,75,2.57,broken clouds
203,Provideniya,RU,64.3833,-173.3,-4.19,90,100,4.85,overcast clouds
204,Sisimiut,GL,66.9395,-53.6735,-0.76,90,11,2.42,few clouds
205,Tarpon Springs,US,28.1461,-82.7568,28.44,71,40,3.6,scattered clouds
206,Andilamena,MG,-17.0167,48.5833,16.46,95,72,2.11,broken clouds
207,Oudtshoorn,ZA,-33.5907,22.2014,14.2,74,55,1.85,broken clouds
208,Stanislav,UA,46.5691,32.1478,10.45,63,0,8.56,clear sky
209,Mahibadhoo,MV,3.7833,72.9667,28.43,69,7,1.96,clear sky
210,Srednyaya Yelyuzan,RU,53.0241,45.9529,3.72,99,100,4.05,overcast clouds
211,Houma,US,29.5958,-90.7195,24.44,42,0,3.09,clear sky
212,Elliot Lake,CA,46.3834,-82.6331,-0.6,64,100,4.92,overcast clouds
213,College,US,64.8569,-147.8028,-6.41,38,0,5.66,clear sky
214,Taft,IR,31.7471,54.2088,16.97,22,0,1.03,clear sky
215,Paamiut,GL,61.994,-49.6678,1.03,88,86,3.64,overcast clouds
216,Kirakira,SB,-10.4544,161.9205,25.34,89,100,5.38,heavy intensity rain
217,Najran,SA,17.4924,44.1277,20.36,17,0,1.23,clear sky
218,Luena,AO,-11.7833,19.9167,19.03,92,97,1.42,overcast clouds
219,Vanimo,PG,-2.6741,141.3028,26.01,85,100,2.37,light rain
220,Hohhot,CN,40.8106,111.6522,-4.84,46,0,1.0,clear sky
221,Fairbanks,US,64.8378,-147.7164,-6.4,37,0,5.66,clear sky
222,Calama,CL,-22.4667,-68.9333,23.27,11,0,9.26,clear sky
223,Notodden,NO,59.5594,9.2585,-0.14,67,90,0.94,overcast clouds
